Nama,NIM,Jenis_Kelamin,Status_Mahasiswa,Umur,Ips 1,Ips 2,Ips 3,Ips 4,Ips 5,Ips 6,Ips 7,Ips 8,IPK,Status_Kelulusan
Maya,2310114106,1,0,22,3.35,3.55,3.38,3.58,3.45,3.65,3.4,3.6,3.5,1
Niko,2310114107,0,1,24,2.45,2.7,2.5,2.75,2.55,2.8,2.4,2.75,2.7,0
Oki,2310114108,0,0,21,3.65,3.85,3.68,3.9,3.7,3.95,3.6,3.9,3.8,1
Putri,2310114109,1,1,24,2.3,2.55,2.35,2.6,2.4,2.65,2.25,2.6,2.5,0
Qory,2310114110,1,0,22,2.95,3.2,2.98,3.22,3.0,3.25,2.9,3.25,3.1,1
Rian,2310114111,0,1,24,2.8,3.0,2.83,3.05,2.9,3.1,2.75,3.0,3.0,0
Santi,2310114112,1,0,22,3.2,3.45,3.25,3.5,3.3,3.55,3.15,3.5,3.4,1
Tegar,2310114113,0,1,24,2.65,2.85,2.7,2.9,2.75,2.95,2.6,2.9,2.8,0
Umar,2310114114,0,0,22,3.4,3.65,3.45,3.7,3.5,3.75,3.35,3.7,3.6,1
Vina,2310114115,1,1,24,2.75,3.0,2.78,3.05,2.8,3.1,2.7,3.0,2.9,0
Wawan,2310114116,0,0,21,3.55,3.75,3.58,3.8,3.6,3.85,3.5,3.8,3.7,1
Xenia,2310114117,1,1,24,2.2,2.45,2.25,2.5,2.3,2.55,2.15,2.5,2.4,0
Yusuf,2310114118,0,0,22,3.05,3.3,3.08,3.32,3.1,3.35,3.0,3.3,3.2,1
